"Number","Group","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Publication Species Name","tsn","tsn rank","Wet_Mass","DM/WM","Dry_Mass","Carbon_Mass","MR_original","MR","Temp","MR_25","type_MR","O2 original J/mL","Reference","Source","Comments","Measure","Temp_original","Unit","MR_mL/min","MR_kJ/h","MR_Watt","Mass_mean","SMR","Species2","BMR","dBMR","dMsum","d Scope","Diet Grp","PP Grp","Year","Loc","Original_Source","MR_type"
2670,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus quadricauda","Scenedesmus quadricauda","6110","Species",7e-11,0.22,1.54e-11,7.7e-12,3.08e-13,2.25866666666667e-13,"20",3.19447333333333e-13,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2671,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Scenedesmus","Scenedesmus quadricauda","Scenedesmus quadricauda","6110","Species",8e-11,0.22,1.76e-11,8.8e-12,3.2e-13,2.34666666666667e-13,"20",3.31877333333333e-13,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2674,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Selenastrum","Selenastrum capricornutum","Selenastrum capricornutum","6257","Species",5e-11,0.22,1.1e-11,5.5e-12,6.5e-13,4.76666666666667e-13,"21",6.2898e-13,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2683,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Selenastrum","Selenastrum minutum","Selenastrum minutum","6256","Species",6.9e-11,0.22,1.518e-11,7.59e-12,2.967e-12,2.1758e-12,"20",3.0770366e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2684,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Selenastraceae","Selenastrum","Selenastrum minutum","Selenastrum minutum","6256","Species",7.7e-11,0.22,1.694e-11,8.47e-12,4.928e-13,3.61386666666667e-13,"20",5.110798e-13,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2685,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema costatum","Skeletonema costatum","2402","Species",6.5e-11,0.22,1.43e-11,7.15e-12,1.365e-13,1.001e-13,"15",2.002e-13,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2686,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema costatum","Skeletonema costatum","2402","Species",7.7e-11,0.22,1.694e-11,8.47e-12,2.002e-13,1.46813333333333e-13,"15",2.93626666666667e-13,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2687,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema costatum","Skeletonema costatum","2402","Species",7.9e-11,0.22,1.738e-11,8.69e-12,2.607e-13,1.9118e-13,"15",3.8236e-13,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2688,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema costatum","Skeletonema costatum","2402","Species",8.2e-11,0.22,1.804e-11,9.02e-12,4.838e-13,3.54786666666667e-13,"15",7.09573333333333e-13,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2689,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema costatum","Skeletonema costatum","2402","Species",8.4e-11,0.22,1.848e-11,9.24e-12,7.812e-13,5.7288e-13,"15",1.14576e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2690,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema costatum","Skeletonema costatum","2402","Species",8.8e-11,0.22,1.936e-11,9.68e-12,1.408e-12,1.03253333333333e-12,"15",2.06506666666667e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2691,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema costatum","Skeletonema costatum","2402","Species",9.1e-11,0.22,2.002e-11,1.001e-11,1.456e-12,1.06773333333333e-12,"15",2.13546666666667e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2692,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema costatum","Skeletonema costatum","2402","Species",9.2e-11,0.22,2.024e-11,1.012e-11,1.656e-12,1.2144e-12,"15",2.4288e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2693,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema costatum","Skeletonema costatum","2402","Species",1.24e-10,0.22,2.728e-11,1.364e-11,2.0832e-12,1.52768e-12,"15",3.05536e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2695,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema costatum","Skeletonema costatum","2402","Species",1.27e-10,0.22,2.794e-11,1.397e-11,1.0922e-12,8.00946666666667e-13,"18",1.3011658e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2708,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Stephanodiscaceae","Stephanodiscus","Stephanodiscus neoastraea","Stephanodiscus neoastraea","2415","Genus",1.4e-08,0.22,3.08e-09,1.54e-09,1.176e-10,8.624e-11,"20",1.21957733333333e-10,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2709,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Protozoa","Ciliophora","Ciliatea","Oligotrichida","Strombidiidae","Strombidium","Strombidium capitatum","Strombidium capitatum","46608","Genus",2e-07,0.22,4.4e-08,2.2e-08,3.8e-09,2.78666666666667e-09,"15",5.57333333333333e-09,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2710,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Myzozoa","Dinophyceae","Suessiales","Symbiodiniaceae","Symbiodinium","Symbiodinium sp(zooxanthellae from Aiptasia pallida)","Symbiodinium sp(zooxanthellae from Aiptasia pallida)","573318","Genus",5e-10,0.22,1.1e-10,5.5e-11,7.5e-12,5.5e-12,"25",5.5e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2718,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira allenii","Thalassiosira allenii","2484","Genus",3e-10,0.22,6.6e-11,3.3e-11,7.8e-13,5.72e-13,"20",8.0894e-13,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2719,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira nordenskioeldii","Thalassiosira nordenskioeldii","2492","Species",4.3e-10,0.22,9.46e-11,4.73e-11,1.591e-12,1.16673333333333e-12,"0.5",6.375094e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2720,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira nordenskioeldii","Thalassiosira nordenskioeldii","2492","Species",4.7e-10,0.22,1.034e-10,5.17e-11,1.081e-12,7.92733333333333e-13,"0.5",4.33177066666667e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2721,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira nordenskioeldii","Thalassiosira nordenskioeldii","2492","Species",5e-10,0.22,1.1e-10,5.5e-11,1e-12,7.33333333333333e-13,"0.5",4.00693333333333e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2722,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira nordenskioeldii","Thalassiosira nordenskioeldii","2492","Species",8.3e-10,0.22,1.826e-10,9.13e-11,3.735e-12,2.739e-12,"0.5",1.49665046666667e-11,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2723,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira pseudonana","Thalassiosira pseudonana","2509","Species",7.7e-11,0.22,1.694e-11,8.47e-12,9.548e-13,7.00186666666667e-13,"18",1.13746453333333e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2725,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira weissflogii","Thalassiosira weissflogii","590872","Species",5.29e-10,0.22,1.1638e-10,5.819e-11,7.9879e-12,5.85779333333333e-12,"18",9.51600466666667e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2726,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira weissflogii","Thalassiosira weissflogii","590872","Species",1.172e-09,0.22,2.5784e-10,1.2892e-10,9.4932e-12,6.96168e-12,"18",1.13088624e-11,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2727,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira weissflogii","Thalassiosira weissflogii","590872","Species",1.364e-09,0.22,3.0008e-10,1.5004e-10,3.5464e-11,2.60069333333333e-11,"18",4.22482632e-11,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2728,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira weissflogii","Thalassiosira weissflogii","590872","Species",1.46e-09,0.22,3.212e-10,1.606e-10,2.774e-11,2.03426666666667e-11,"18",3.30471973333333e-11,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2729,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira weissflogii","Thalassiosira weissflogii","590872","Species",1.48e-09,0.22,3.256e-10,1.628e-10,4.144e-11,3.03893333333333e-11,"18",4.9367472e-11,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2730,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Chromista","Bacillariophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira weissflogii","Thalassiosira weissflogii","590872","Species",1.675e-09,0.22,3.685e-10,1.8425e-10,4.69e-11,3.43933333333333e-11,"18",5.587197e-11,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2731,"Eukaryotic Microalgae (non-filamentous)","Eukaryota","Plantae","Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Trebouxia","Trebouxia sp(phycobiont of Caloplaca holocarpa)","Trebouxia sp(phycobiont of Caloplaca holocarpa)","5653","Genus",1e-09,0.22,2.2e-10,1.1e-10,1.4e-12,1.02666666666667e-12,"20",1.452e-12,"Dark respiration","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2756,"Fishes","Eukaryota","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser transmontanus","Acipenser transmontanus","161068","Species",950,0.26,247,123.5,0.011115,0.011115,"15",0.01805,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2902,"Fishes","Eukaryota","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser transmontanus","Acipenser transmontanus","161068","Species",900,0.26,233.99999976329,116.999999881645,0.154,0.154,"10",0.326397359823881,"Basal","20 J/mL","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Rubalcaba et al. (2020)","Converted from mg O2/hr to W using 20J/mL","IND?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2757,"Fishes","Eukaryota","Animalia","Chordata","Teleostei","Perciformes","Anabantidae","Anabas","Anabas testudineus","Anabas testudineus","172585","Species",27.62,0.26,7.1812,3.5906,0.00053859,0.00053859,"28",0.00046954,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2758,"Fishes","Eukaryota","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas minor","Anarhichas minor","171342","Species",27.5,0.26,7.15,3.575,0.00385,0.00385,"1.35",0.012595,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2759,"Fishes","Eukaryota","Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","Anguilla anguilla","161128","Species",71.1,0.26,18.486,9.243,0.00525429,0.00525429,"14",0.0091008,"Basal","20 J/mL","A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).","Makarieva et al. (2008)",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2963,"Fishes","Eukaryota","Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","Anguilla anguilla","161128","Species",0.23,0.26,0.0597999999975776,0.0298999999987888,0.000205660522222222,0.000205660522222222,"17",0.000306999797929886,"Basal","20 J/mL","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Rubalcaba et al. (2020)","Converted from mg O2/hr to W using 20J/mL","IND?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2964,"Fishes","Eukaryota","Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","Anguilla anguilla","161128","Species",20,0.26,5.2000000040233,2.60000000201165,0.00886400746666667,0.00886400746666667,"18.5",0.0122742418681735,"Basal","20 J/mL","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Rubalcaba et al. (2020)","Converted from mg O2/hr to W using 20J/mL","IND?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2965,"Fishes","Eukaryota","Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla","Anguilla anguilla","161128","Species",21,0.26,5.4600000033452,2.7300000016726,0.0101236295777778,0.0101236295777778,"18.5",0.0140184762353509,"Basal","20 J/mL","J. G. Rubalcaba, W. C. E. P. Verberk, A. J. Hendriks. B. Saris, H. A. Woods, Oxygen limitation may affect the temperature and size dependence of metabolism in aquatic ectotherms. Proc. Natl. Acad. Sci. U.S.A. 117, 31963-3196 (2020).","Rubalcaba et al. (2020)","Converted from mg O2/hr to W using 20J/mL","IND?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
